COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
1,Autauga,Alabama,54571,32.500389,-86.494165
3,Baldwin,Alabama,182265,30.548923,-87.762381
5,Barbour,Alabama,27457,31.844036,-85.310038
7,Bibb,Alabama,22915,33.030921,-87.127659
9,Blount,Alabama,57322,33.955243,-86.591491
11,Bullock,Alabama,10914,32.116327,-85.701192
13,Butler,Alabama,20947,31.773539,-86.65355
15,Calhoun,Alabama,118572,33.72546,-85.819442
17,Chambers,Alabama,34215,32.860439,-85.266474
19,Cherokee,Alabama,25989,34.179333,-85.629194
21,Chilton,Alabama,43643,32.877547,-86.687406
23,Choctaw,Alabama,13859,32.016562,-88.264164
25,Clarke,Alabama,25833,31.685685,-87.815673
27,Clay,Alabama,13932,33.272412,-85.820227
29,Cleburne,Alabama,14972,33.62977,-85.494315
31,Coffee,Alabama,49948,31.354433,-85.904715
33,Colbert,Alabama,54428,34.723385,-87.685151
35,Conecuh,Alabama,13228,31.418674,-86.996483
37,Coosa,Alabama,11539,32.975932,-86.155035
39,Covington,Alabama,37765,31.282449,-86.410955
41,Crenshaw,Alabama,13906,31.743487,-86.29708
43,Cullman,Alabama,80406,34.162362,-86.831859
45,Dale,Alabama,50251,31.383346,-85.641269
47,Dallas,Alabama,43820,32.408815,-87.034955
49,DeKalb,Alabama,71109,34.45511,-85.817208
51,Elmore,Alabama,79303,32.559652,-86.225647
53,Escambia,Alabama,38319,31.088737,-87.282053
55,Etowah,Alabama,104430,34.013693,-86.025393
57,Fayette,Alabama,17241,33.726422,-87.770355
59,Franklin,Alabama,31704,34.460481,-87.793594
61,Geneva,Alabama,26790,31.09426,-85.788849
63,Greene,Alabama,9045,32.830505,-87.924
65,Hale,Alabama,15760,32.775804,-87.626084
67,Henry,Alabama,17302,31.478593,-85.268828
69,Houston,Alabama,101547,31.20455,-85.391221
71,Jackson,Alabama,53227,34.731984,-85.938698
73,Jefferson,Alabama,658466,33.518601,-86.814688
75,Lamar,Alabama,14564,33.762769,-88.109649
77,Lauderdale,Alabama,92709,34.866179,-87.608759
79,Lawrence,Alabama,34339,34.543683,-87.272414
81,Lee,Alabama,140247,32.588092,-85.345833
83,Limestone,Alabama,82782,34.815612,-86.938972
85,Lowndes,Alabama,11299,32.162415,-86.618688
87,Macon,Alabama,21452,32.425739,-85.715007
89,Madison,Alabama,334811,34.746392,-86.613232
91,Marengo,Alabama,21027,32.340479,-87.800648
93,Marion,Alabama,30776,34.111797,-87.8743
95,Marshall,Alabama,93019,34.311974,-86.293279
97,Mobile,Alabama,412992,30.683993,-88.170637
99,Monroe,Alabama,23068,31.505611,-87.360894
101,Montgomery,Alabama,229363,32.346175,-86.243797
103,Morgan,Alabama,119490,34.514252,-86.930781
105,Perry,Alabama,10591,32.581066,-87.369219
107,Pickens,Alabama,19746,33.292973,-88.066472
109,Pike,Alabama,32899,31.787277,-85.948647
111,Randolph,Alabama,22913,33.257607,-85.427266
113,Russell,Alabama,52947,32.421972,-85.062843
115,St. Clair,Alabama,83593,33.660628,-86.369107
117,Shelby,Alabama,195085,33.290719,-86.737978
119,Sumter,Alabama,13763,32.57442,-88.232646
121,Talladega,Alabama,82291,33.372083,-86.169238
123,Tallapoosa,Alabama,41616,32.85306,-85.864503
125,Tuscaloosa,Alabama,194656,33.214154,-87.520229
127,Walker,Alabama,67023,33.834858,-87.253922
129,Washington,Alabama,17581,31.410368,-88.18612
131,Wilcox,Alabama,11670,31.999753,-87.380407
133,Winston,Alabama,24484,34.163824,-87.415693
13,Aleutians East,Alaska,3141,54.860151,-162.901536
16,Aleutians West,Alaska,5561,54.023571,-168.292885
20,Anchorage,Alaska,291826,61.192232,-149.793182
50,Bethel,Alaska,17013,60.679946,-162.151263
60,Bristol Bay,Alaska,997,58.735464,-156.834047
68,Denali,Alaska,1826,63.882845,-149.032949
70,Dillingham,Alaska,4847,59.136256,-158.718472
90,Fairbanks North Star,Alaska,97581,64.831552,-147.624018
100,Haines,Alaska,2508,59.264125,-135.559897
105,Hoonah-Angoon,Alaska,2150,58.078282,-135.384163
110,Juneau,Alaska,31275,58.358516,-134.530605
122,Kenai Peninsula,Alaska,55400,60.292592,-151.064475
130,Ketchikan Gateway,Alaska,13477,55.367858,-131.678527
150,Kodiak Island,Alaska,13592,57.779137,-152.460881
164,Lake and Peninsula,Alaska,1631,58.557351,-156.371652
170,Matanuska-Susitna,Alaska,88995,61.611281,-149.421961
180,Nome,Alaska,9492,64.457026,-165.295491
185,North Slope,Alaska,9430,70.522779,-154.862085
188,Northwest Arctic,Alaska,7523,66.943735,-161.638185
195,Petersburg,Alaska,3815,56.812712,-133.115025
198,Prince of Wales-Hyder,Alaska,5559,55.448164,-132.560842
220,Sitka,Alaska,8881,57.062746,-135.337171
230,Skagway,Alaska,968,59.464536,-135.311501
240,Southeast Fairbanks,Alaska,7029,63.856185,-144.687024
261,Valdez-Cordova,Alaska,9636,61.26149,-145.882504
270,Wade Hampton,Alaska,7459,62.089902,-164.314723
275,Wrangell,Alaska,2369,56.385821,-132.310837
282,Yakutat,Alaska,662,59.547975,-139.724878
290,Yukon-Koyukuk,Alaska,5588,65.010262,-152.550423
1,Apache,Arizona,71518,35.577687,-109.41484
3,Cochise,Arizona,131346,31.607357,-110.063053
5,Coconino,Arizona,134421,35.514426,-111.590056
