nicu,name,addr,city_state_zip,level,beds,type,contact
1,Abington Hospital,1200 Old York Road,"Abington, PA 19001",III,34,Private Practice,"Eddie Chang, MD"
2,Abrazo Arrowhead Campus,18701 N. 67th Ave.,"Glendale, AZ 85308",II,21,Private Practice,"Ashwin Ramachandrappa, MD"
3,Abrazo West Campus,13677 W McDowell Rd,"Goodyear, AZ 85395",II,6,Private Practice,"Ravi Gunawardene, MD"
4,AdventHealth Altamonte Springs,601 E Altamonte Dr,"Altamonte Springs, FL 32701",II,10,,
5,AdventHealth Celebration,400 Celebration Place,"Celebration, Florida 34747",II,10,,
6,AdventHealth Daytona Beach,301 Memorial Medical Pkwy,"Daytona Beach, FL 32117, USA",II,16,Employed Group,
7,AdventHealth for Children,601 E Rollins St,"Orlando, FL 32803",III,102,Employed Group,"Narenda Dereddy, MD"
8,AdventHealth Ocala,1500 SW 1st Ave,"Ocala, FL 34471",II,12,Employed Group,
9,AdventHealth Tampa,3100 E Fletcher Ave,"Tampa, FL 33613",III,28,Academic Program,"Marie Berg, MD"
10,AdventHealth Winter Park,200 N. Lakemont Ave,"Winter Park, Florida 32792",II,12,,
11,Adventist Health Hanford,115 Mall Dr,"Hanford, CA 93230",II,6,Network Medical Group,
12,Adventist Health Lodi Memorial,975 S Fairmont Ave,"Lodi, CA 95240",II,,Academic Program,Pediatric Hospitalist Managed
13,Adventist Health White Memorial,1720 East Cesar E Chavez Avenue,"Los Angeles, CA 90033",III,28,Private Practice,"Soha Idriss, MD"
14,Adventist Hinsdale Hospital,120 N Oak St,"Hinsdale, IL 60521",III,12,Private Practice,"Stavros Ionides, MD"
15,Advocate BroMenn Medical Center,1304 Franklin Ave,"Normal, IL 61761",II,8,Employed Group,
16,Advocate Christ Medical Center,4440 W 95th St,"Oak Lawn, IL 60453",III,61,Private Practice,"Brett Galley, MD"
17,Advocate Condell Medical Center,801 S Milwaukee Ave,"Libertyville, IL 60048",II,14,Employed Group,
18,Advocate Good Samaritan Hospital,3815 Highland Ave,"Downers Grove, IL 60515",III,24,Private Practice,"Vibha Thaker, MD"
19,Advocate Good Shepherd Hospital,450 IL-22,"Barrington, IL 60010",II,8,Employed Group,
20,Advocate Illinois Masonic Medical Center,836 W Wellington Ave,"Chicago, IL 60657",III,34,Employed Group,"Ravi Mishra, MD"
21,Advocate Lutheran General Hospital,1775 Dempster Street,"Park Ridge, IL 60068",III,54,Employed Group,"Jeffrey George, DO"
22,Advocate Sherman Hospital,1425 N Randall Rd,"Elgin, IL 60123",II,16,Employed Group,
23,Advocate South Suburban Hospital,17800 Kedzie Ave,"Hazel Crest, IL 60429",II,,Private Practice,"Brett Galley, MD"
24,Advocate Trinity Hospital,2320 E 93rd St,"Chicago, IL 60617",II,8,,
25,Aiken Regional Medical Center,302 University Parkway,"Aiken, SC 29801",II,,Academic Program,
26,Akron Children’s Hospital,214 W Bowery St,"Akron, OH 44308",III,59,Private Practice,"Jennifer Grow, MD"
27,Akron General,1 Akron General Ave,"Akron, OH 44307",III,15,Private Practice,"Jennifer Grow, MD"
28,Alaska Native Medical Center,4315 Diplomacy Drive,Anchorage AK 99508,II,12,,"Eric Noble, MD"
29,Alaska Regional Hospital,2801 Debarr Road,"Anchorage, AK 99508",II,10,Private Practice,"Evelyn Rider, MD"
30,Albany Medical Center,43 New Scotland Ave,"Albany, NY 12208",IV,60,Academic Program,"Michael Horgan, MD"
31,Alexian Brothers Medical Center,800 Biesterfield Rd,"Elk Grove Village, IL 60007",II,10,Academic Program,"Mary S. Tillema, MD"
