nicu,name,full_address,addr,city_state_zip,level,beds,type,contact,latitude,longitude
1,Abington Hospital,"1200 Old York Road Abington, PA 19001",1200 Old York Road,"Abington, PA 19001",III,34,Private Practice,"Eddie Chang, MD",40.117506820000074,-75.12020570299995
2,Abrazo Arrowhead Campus,"18701 N. 67th Ave. Glendale, AZ 85308",18701 N. 67th Ave.,"Glendale, AZ 85308",II,21,Private Practice,"Ashwin Ramachandrappa, MD",33.65500984400006,-112.20295568699999
3,Abrazo West Campus,"13677 W McDowell Rd Goodyear, AZ 85395",13677 W McDowell Rd,"Goodyear, AZ 85395",II,6,Private Practice,"Ravi Gunawardene, MD",33.46433919300006,-112.35223400399997
4,AdventHealth Altamonte Springs,"601 E Altamonte Dr Altamonte Springs, FL 32701",601 E Altamonte Dr,"Altamonte Springs, FL 32701",II,10,NA,NA,28.663939458000073,-81.37088734899999
5,AdventHealth Celebration,"400 Celebration Place Celebration, Florida 34747",400 Celebration Place,"Celebration, Florida 34747",II,10,NA,NA,28.32981142600005,-81.53922441399999
6,AdventHealth Daytona Beach,"301 Memorial Medical Pkwy Daytona Beach, FL 32117, USA",301 Memorial Medical Pkwy,"Daytona Beach, FL 32117, USA",II,16,Employed Group,NA,29.24602181700004,-81.10685023899998
7,AdventHealth for Children,"601 E Rollins St Orlando, FL 32803",601 E Rollins St,"Orlando, FL 32803",III,102,Employed Group,"Narenda Dereddy, MD",28.574110639000025,-81.37117148599998
8,AdventHealth Ocala,"1500 SW 1st Ave Ocala, FL 34471",1500 SW 1st Ave,"Ocala, FL 34471",II,12,Employed Group,NA,29.174003282000058,-82.13787666799999
9,AdventHealth Tampa,"3100 E Fletcher Ave Tampa, FL 33613",3100 E Fletcher Ave,"Tampa, FL 33613",III,28,Academic Program,"Marie Berg, MD",28.06918212000005,-82.42438251899995
10,AdventHealth Winter Park,"200 N. Lakemont Ave Winter Park, Florida 32792",200 N. Lakemont Ave,"Winter Park, Florida 32792",II,12,NA,NA,28.596271622000074,-81.32787853999997
11,Adventist Health Hanford,"115 Mall Dr Hanford, CA 93230",115 Mall Dr,"Hanford, CA 93230",II,6,Network Medical Group,NA,36.32285868900004,-119.67154044799997
12,Adventist Health Lodi Memorial,"975 S Fairmont Ave Lodi, CA 95240",975 S Fairmont Ave,"Lodi, CA 95240",II,NA,Academic Program,Pediatric Hospitalist Managed,NA,NA
13,Adventist Health White Memorial,"1720 East Cesar E Chavez Avenue Los Angeles, CA 90033",1720 East Cesar E Chavez Avenue,"Los Angeles, CA 90033",III,28,Private Practice,"Soha Idriss, MD",NA,NA
14,Adventist Hinsdale Hospital,"120 N Oak St Hinsdale, IL 60521",120 N Oak St,"Hinsdale, IL 60521",III,12,Private Practice,"Stavros Ionides, MD",41.80539478600008,-87.92008907099995
15,Advocate BroMenn Medical Center,"1304 Franklin Ave Normal, IL 61761",1304 Franklin Ave,"Normal, IL 61761",II,8,Employed Group,NA,40.49620647200004,-88.99101079899998
16,Advocate Christ Medical Center,"4440 W 95th St Oak Lawn, IL 60453",4440 W 95th St,"Oak Lawn, IL 60453",III,61,Private Practice,"Brett Galley, MD",41.72024827900003,-87.73239297099997
17,Advocate Condell Medical Center,"801 S Milwaukee Ave Libertyville, IL 60048",801 S Milwaukee Ave,"Libertyville, IL 60048",II,14,Employed Group,NA,42.27531139800004,-87.95176975099997
18,Advocate Good Samaritan Hospital,"3815 Highland Ave Downers Grove, IL 60515",3815 Highland Ave,"Downers Grove, IL 60515",III,24,Private Practice,"Vibha Thaker, MD",41.81853892700008,-88.01021819099998
19,Advocate Good Shepherd Hospital,"450 IL-22 Barrington, IL 60010",450 IL-22,"Barrington, IL 60010",II,8,Employed Group,NA,NA,NA
20,Advocate Illinois Masonic Medical Center,"836 W Wellington Ave Chicago, IL 60657",836 W Wellington Ave,"Chicago, IL 60657",III,34,Employed Group,"Ravi Mishra, MD",41.93631341500003,-87.65222479599998
21,Advocate Lutheran General Hospital,"1775 Dempster Street Park Ridge, IL 60068",1775 Dempster Street,"Park Ridge, IL 60068",III,54,Employed Group,"Jeffrey George, DO",NA,NA
22,Advocate Sherman Hospital,"1425 N Randall Rd Elgin, IL 60123",1425 N Randall Rd,"Elgin, IL 60123",II,16,Employed Group,NA,NA,NA
23,Advocate South Suburban Hospital,"17800 Kedzie Ave Hazel Crest, IL 60429",17800 Kedzie Ave,"Hazel Crest, IL 60429",II,NA,Private Practice,"Brett Galley, MD",41.56564338600003,-87.69433082699999
24,Advocate Trinity Hospital,"2320 E 93rd St Chicago, IL 60617",2320 E 93rd St,"Chicago, IL 60617",II,8,NA,NA,41.726223798000035,-87.56760610299995
25,Aiken Regional Medical Center,"302 University Parkway Aiken, SC 29801",302 University Parkway,"Aiken, SC 29801",II,NA,Academic Program,NA,33.584163294000064,-81.75949030799995
26,Akron Children’s Hospital,"214 W Bowery St Akron, OH 44308",214 W Bowery St,"Akron, OH 44308",III,59,Private Practice,"Jennifer Grow, MD",41.07722977200007,-81.52586697199996
27,Akron General,"1 Akron General Ave Akron, OH 44307",1 Akron General Ave,"Akron, OH 44307",III,15,Private Practice,"Jennifer Grow, MD",NA,NA
28,Alaska Native Medical Center,4315 Diplomacy Drive Anchorage AK 99508,4315 Diplomacy Drive,Anchorage AK 99508,II,12,NA,"Eric Noble, MD",61.18183507900005,-149.80245442099996
29,Alaska Regional Hospital,"2801 Debarr Road Anchorage, AK 99508",2801 Debarr Road,"Anchorage, AK 99508",II,10,Private Practice,"Evelyn Rider, MD",61.20971696100008,-149.82914519099998
30,Albany Medical Center,"43 New Scotland Ave Albany, NY 12208",43 New Scotland Ave,"Albany, NY 12208",IV,60,Academic Program,"Michael Horgan, MD",42.65273891900006,-73.78096461599995
31,Alexian Brothers Medical Center,"800 Biesterfield Rd Elk Grove Village, IL 60007",800 Biesterfield Rd,"Elk Grove Village, IL 60007",II,10,Academic Program,"Mary S. Tillema, MD",42.003466814000035,-88.01719778999995
32,Allen Memorial Hospital,"1825 Logan Ave Waterloo, IA 50703",1825 Logan Ave,"Waterloo, IA 50703",II,10,Employed Group,"Pankaj Nagaraj, MD",42.52616377100003,-92.33764480499997
33,Almanance Regional Medical Center,"1240 Huffman Mill Road Burlington, NC 27215",1240 Huffman Mill Road,"Burlington, NC 27215",III,12,Private Practice,"John Wimmer, MD",36.064234175000024,-79.50186337699995
34,Alta Bates Summit Medical Center,"350 Hawthorne Ave Oakland, CA 94609",350 Hawthorne Ave,"Oakland, CA 94609",III,55,Private Practice,"Alex Espinoza, MD",37.82079058700003,-122.26307643999996
35,Alta View Hospital,"9660 South 1300 East Sandy, UT 84094, USA",9660 South 1300 East,"Sandy, UT 84094, USA",II,5,NA,NA,40.577916103000064,-111.85313011199997
36,Alton Memorial Hospial,"1 Memorial Dr Alton, IL 62002",1 Memorial Dr,"Alton, IL 62002",II,NA,NA,NA,38.89722855800005,-90.15854691499999
37,Altru Hospital,"1200 S Columbia Rd Grand Forks, ND 58201",1200 S Columbia Rd,"Grand Forks, ND 58201",III,16,Hospital Employed,"Panda Durga, MD",47.91019286100004,-97.06645986899997
38,American Family Children’s,"1675 Highland Ave Madison, WI 53792",1675 Highland Ave,"Madison, WI 53792",IV,26,Academic Program,"Nina Menda, MD",43.07827045400006,-89.43336015999995
39,American Fork Hospital,"170 North 1100 East American Fork, UT 84003",170 North 1100 East,"American Fork, UT 84003",II,4,Employed Group,"Shaun Odell, MD",40.380802870000025,-111.76910809099996
40,Amita Adventist Health Medical Center Bolingbrook,"500 Remington Blvd Bolingbrook, IL 60440",500 Remington Blvd,"Bolingbrook, IL 60440",II,NA,Private Practice,"Anthony Bell, MD",41.67813764500005,-88.08759453199997
41,AMITA Adventist Medical Center LaGrange,"5101 Willow Springs Rd La Grange, IL 60525",5101 Willow Springs Rd,"La Grange, IL 60525",II,NA,Private Practice,NA,NA,NA
42,AMITA Health Glen Oaks,"701 Winthrop Ave Glendale Heights, IL 60139",701 Winthrop Ave,"Glendale Heights, IL 60139",II,NA,Network Medical Group,"Ramakrishna Velamati, MD",41.91492135100003,-88.06027982599994
43,AMITA Health Mercy Medical Center,"1325 N Highland Ave Aurora, IL 60506",1325 N Highland Ave,"Aurora, IL 60506",II,NA,NA,NA,41.78580621300006,-88.32886933899994
44,AMITA Health Resurrection Medical Center,"7435 W Talcott Ave Chicago, IL 60631",7435 W Talcott Ave,"Chicago, IL 60631",II,NA,Network Medical Group,"Ramakrishna Velamati, MD",41.98876062000005,-87.81309164299995
45,AMITA Health Saint Joseph Hospital,"2900 N Lake Shore Dr. Chicago, IL 60657",2900 N Lake Shore Dr.,"Chicago, IL 60657",III,20,Network Medical Group,"Ramakrishna Velamati, MD",41.935367202000066,-87.63283776299994
46,AMITA Health Saints Mary and Elizabeth Medical Center,"1431 N Claremont Ave Chicago, IL 60622",1431 N Claremont Ave,"Chicago, IL 60622",II,NA,Network Medical Group,"Ramakrishna Velamati, MD",41.907192191000036,-87.68591103099999
47,AMITA Health St. Joseph Medical Center,"333 Madison St Joliet, IL 60435",333 Madison St,"Joliet, IL 60435",II,NA,Private Practice,NA,41.52790939300007,-88.13463309599996
48,Ana Jaques Hospital,"25 Highland Ave Newburyport, MA 01950",25 Highland Ave,"Newburyport, MA 01950",II,NA,Employed Group,"Marianne Anderson, MD",42.81379309300007,-70.88807719599998
49,Anaheim Regional Medical Center,"1111 W La Palma Ave Anaheim, CA 92801",1111 W La Palma Ave,"Anaheim, CA 92801",III,11,NA,NA,33.84713235100003,-117.93406562999996
50,Anderson Hospital,"6800 State Route 162 Maryville, IL 62062",6800 State Route 162,"Maryville, IL 62062",II,NA,NA,NA,38.73814120000003,-89.94680053399998
51,Anderson Regional Medical Center,"2124 14th St Meridian, MS 39301",2124 14th St,"Meridian, MS 39301",III,10,Private Practice,"Roland Boyd, DO",32.37080148200005,-88.69908220099995
52,AnMed Health Women’s and Children’s Hospital,"2000 E Greenville St Anderson, SC 29621",2000 E Greenville St,"Anderson, SC 29621",II,NA,NA,NA,34.54829629100004,-82.63097919899997
53,Anne Arundel Medical Center,"2001 Medical Pkwy, Annapolis, MD 21401","2001 Medical Pkwy,","Annapolis, MD 21401",III,30,Private Practice,"Suzanne Rindfleisch, DO",38.99034479300008,-76.53470447499996
54,Antelope Valley Hospital Medical Center,"1600 W Ave J Lancaster, CA 93534",1600 W Ave J,"Lancaster, CA 93534",III,21,NA,"Murugesa Thangavel, MD",34.689339361000066,-118.15960146999998
55,Arkansas Children’s Hospital,"1 Children's Way Little Rock, Arkansas 72202",1 Children's Way,"Little Rock, Arkansas 72202",IV,104,Academic Program,"Ashley Ross, MD",34.743454489000044,-92.29146481899994
56,Arnot Ogden Medical Center,"600 Roe Ave Elmira, NY 14905",600 Roe Ave,"Elmira, NY 14905",III,20,Private Practice,NA,NA,NA
57,Arrowhead Regional Medical Center,"400 N Pepper Ave Colton, CA 92324",400 N Pepper Ave,"Colton, CA 92324",III,30,NA,NA,34.075555208000026,-117.35291309299998
58,Ascension All Saints Hospital,"3801 Spring St. Racine, WI 53405, USA",3801 Spring St.,"Racine, WI 53405, USA",III,18,Academic Program,NA,42.733437999000046,-87.82523452899994
59,Ascension Borgess Hospital,"1521 Gull Rd, Kalamazoo, MI 49048","1521 Gull Rd,","Kalamazoo, MI 49048",II,8,NA,NA,42.30558417300006,-85.55971181899997
60,Ascension Genesys Hospital,"1 Genesys Pkwy Grand Blanc, MI 48439",1 Genesys Pkwy,"Grand Blanc, MI 48439",II,15,Private Practice,NA,NA,NA
61,Ascension Providence,"6901 Medical Pkwy Waco, TX 76712",6901 Medical Pkwy,"Waco, TX 76712",II,20,NA,NA,31.51450136400007,-97.19796872299997
62,Ascension Providence Hospital Novi Campus,"47601 Grand River Ave Novi, MI 48374",47601 Grand River Ave,"Novi, MI 48374",II,6,Network Medical Group,NA,42.49006991200008,-83.51705383499996
63,Ascension Providence Hospital Southfield Campus,"16001 W Nine Mile Rd Southfield, MI 48075",16001 W Nine Mile Rd,"Southfield, MI 48075",III,15,Network Medical Group,NA,42.45920983800005,-83.20492084599994
64,Ascension Seton Hays,"6001 Kyle Pkwy Kyle, TX 78640",6001 Kyle Pkwy,"Kyle, TX 78640",II,NA,Private Practice,NA,30.009518343000025,-97.85590580399997
65,Ascension Seton Northwest,"11113 Research Blvd Austin, TX 78759",11113 Research Blvd,"Austin, TX 78759",II,NA,NA,NA,NA,NA
66,Ascension St. Elizabeth Hospital,"1506 South Oneida St Appleton, WI 54915",1506 South Oneida St,"Appleton, WI 54915",III,15,Employed Group,NA,44.249295268000026,-88.40410823699995
67,Ascension St. John Hospital,"22101 Moross Rd Detroit, MI 48236",22101 Moross Rd,"Detroit, MI 48236",III,32,Hospital Employed,"Ali Rabbani, MD",42.41899072600006,-82.91498424599996
68,Ascension St. Joseph Campus,"5000 W Chambers St Milwaukee, WI 53210",5000 W Chambers St,"Milwaukee, WI 53210",III,52,Employed Group,NA,43.07346455600003,-87.97619510699997
69,Ascension Via Christi Manhattan,"1823 College Ave Manhattan, KS 66502",1823 College Ave,"Manhattan, KS 66502",II,NA,Employed Group,NA,39.20161200900003,-96.59816324899998
70,Ascension Via Christi St. Joseph,"3600 E Harry St Wichita, KS 67218",3600 E Harry St,"Wichita, KS 67218",III,28,Employed Group,NA,37.66462669200007,-97.29364920599994
71,Ashley Regional Medical Center,"150 West 100 North Vernal, UT 84078",150 West 100 North,"Vernal, UT 84078",II,4,NA,NA,NA,NA
72,Aspirus – Wausau Hospital,"333 Pine Ridge Boulevard Wausau, WI 54401",333 Pine Ridge Boulevard,"Wausau, WI 54401",III,14,Network Medical Group,"Haresh Modi, MD",44.96729781000005,-89.67008725099998
73,Atlanticare Regional Medical Center Mainland Campus,"65 W Jimmie Leeds Road Pomona, New Jersey 08240",65 W Jimmie Leeds Road,"Pomona, New Jersey 08240",III,22,Academic Program,"Jennifer Tioseco, MD",39.476509932000056,-74.54100774799997
74,Atrium Health Pineville,"10628 Park Rd Charlotte, NC 28210",10628 Park Rd,"Charlotte, NC 28210",II,10,Hospital Employed,NA,35.09202027900005,-80.86909773599996
75,Atrium Health Union,"600 Hospital Dr Monroe, NC 28112",600 Hospital Dr,"Monroe, NC 28112",II,8,Hospital Employed,NA,34.97389213200006,-80.52256522199997
76,Atrium Health University City,"8800 N Tryon St Charlotte, NC 28262",8800 N Tryon St,"Charlotte, NC 28262",III,9,Hospital Employed,NA,35.306275054000025,-80.74937819999997
77,Aultman Hospital,"2600 6th St SW Canton, OH 44710",2600 6th St SW,"Canton, OH 44710",III,25,Private Practice,"Adeyemi Sobowale, MD",40.79685922200008,-81.40356657699994
78,Aurora Bay Medical Center,"2845 Greenbrier Rd Green Bay, WI 54311",2845 Greenbrier Rd,"Green Bay, WI 54311",III,20,Network Medical Group,NA,44.47334426900005,-87.93984039999998
79,Aurora Medical Center Grafton,"975 Port Washington Rd Grafton, WI 53024",975 Port Washington Rd,"Grafton, WI 53024",II,NA,Network Medical Group,NA,43.310848564000025,-87.92498893599998
80,Aurora Medical Center Kenosha,"10400 75th St Kenosha, WI 53142, USA",10400 75th St,"Kenosha, WI 53142, USA",II,13,Network Medical Group,NA,NA,NA
81,Aurora Medical Center Summit,"36500 Aurora Dr Oconomowoc, WI 53066, USA",36500 Aurora Dr,"Oconomowoc, WI 53066, USA",II,NA,NA,NA,NA,NA
82,Aurora Sheboygan Memorial Medical Center,"2629 N 7th St Sheboygan, WI 53083",2629 N 7th St,"Sheboygan, WI 53083",II,NA,Network Medical Group,NA,43.77239940000004,-87.71125973299996
83,Aurora Sinai Medical Center,"945 N 12th St Milwaukee, WI 53233",945 N 12th St,"Milwaukee, WI 53233",III,36,Network Medical Group,NA,43.042333136000025,-87.92716960999996
84,Aurora West Allis Medical Center,"8901 W Lincoln Ave West Allis, WI 53227, USA",8901 W Lincoln Ave,"West Allis, WI 53227, USA",III,20,Network Medical Group,NA,43.002703574000066,-88.02358974099997
85,Avera McKennan Hospital,"1325 S Cliff Ave Sioux Falls, SD 57105",1325 S Cliff Ave,"Sioux Falls, SD 57105",III,42,Employed Group,"Katherine Wang, MD",43.534542369000064,-96.71132586199997
86,Avista Adventist Hospital,"100 Health Park Drive Louisville, CO 80027",100 Health Park Drive,"Louisville, CO 80027",III,19,Private Practice,"Rossana Chang, MD",39.95092324400008,-105.14813784399996
87,Backus Hospital,"326 Washington St Norwich, CT 06360",326 Washington St,"Norwich, CT 06360",II,NA,Academic Program,NA,41.54339321600003,-72.08676157999997
